,Country/Territory,UN region,ForecastIMF,Forecast_year,World_bank_estimate,World_bank_year,CIA_estimate,CIA_year
343,Mongolia,Asia,"18,782",2023,"16,811",2022,"15,098",2021
344,Jamaica,Americas,"18,761",2023,"17,098",2022,"14,658",2021
345,Nicaragua,Americas,"17,353",2023,"15,672",2022,"14,013",2021
346,Niger,Africa,"17,073",2023,"13,970",2022,"14,915",2021
347,North Korea,Asia,—,—,"16,750",2021,NA,2021
348,Guyana,Americas,"16,329",2023,"15,358",2022,"8,044",2021
349,Moldova,Europe,"16,000",[n 14]2023,"14,421",[n 14]2022,"13,680",[n 14]2021
350,North Macedonia,Europe,"15,801",2023,"13,563",2022,"13,881",2021
351,Madagascar,Africa,"15,763",2023,"14,955",2022,"14,450",2021
352,Brunei,Asia,"15,153",2023,"16,682",2022,"14,006",2021
353,Afghanistan,Asia,—,—,"14,939",2021,NA,2021
354,Mauritius,Africa,"14,819",2023,"12,898",2022,"11,525",2021
355,Congo,Africa,"14,407",2023,"14,616",2022,"12,841",2021
356,Laos,Asia,"14,244",2023,"15,724",2022,"19,074",2021
357,Rwanda,Africa,"13,927",2023,"13,313",2022,"11,070",2021
358,Bahamas,Americas,"13,876",2023,"12,897",2022,"11,209",2021
359,Malawi,Africa,"13,176",2023,"13,165",2022,"12,199",2021
360,Kyrgyzstan,Asia,"12,681",2023,"10,931",2022,"8,741",2021
361,Namibia,Africa,"12,647",2023,"12,607",2022,"12,236",2021
362,Chad,Africa,"12,596",2023,"12,704",2022,"16,410",2021
363,Tajikistan,Asia,"11,816",2023,"10,492",2022,"8,746",2021
364,Somalia,Africa,"11,515",2023,"8,126",2022,"7,628",2021
365,Kosovo,Europe,"10,469",2023,"9,429",2022,"9,412",2021
366,Mauritania,Africa,"10,357",2023,"10,375",2022,"9,996",2021
367,New Caledonia,Oceania,—,—,"10,071",2021,NA,2021
368,Equatorial Guinea,Africa,"10,041",2023,"11,814",2022,"12,431",2021
369,Togo,Africa,"9,111",2023,"8,126",2022,"8,160",2021
370,Monaco,Europe,—,—,"8,596",2021,NA,2021
371,Bermuda,Americas,—,"7,551",2022,"7,231",2021,2021
372,Montenegro,Europe,"7,058",2023,"6,096",2022,"5,809",2021
373,Maldives,Asia,"6,977",2023,"6,190",2022,"5,406",2021
374,Liechtenstein,Europe,—,—,"6,608",2021,NA,2021
375,South Sudan,Africa,"6,267",2023,—,"4,304",2021,2021
376,Barbados,Americas,"6,220",2023,"5,638",2022,"4,844",2021
377,French Polynesia,Oceania,—,—,"6,055",2021,NA,2021
378,Cayman Islands,Americas,—,—,"5,809",2021,NA,2021
379,Fiji,Oceania,"5,511",2023,"4,943",2022,"4,296",2021
380,Eswatini,Africa,"4,648",2023,"4,854",2022,"4,732",2021
381,Liberia,Africa,"4,347",2023,"4,001",2022,"2,445",2021
382,Djibouti,Africa,"3,873",2023,"3,515",2022,"3,701",2021
383,Aruba,Americas,"3,827",2023,—,"3,126",2021,2021
384,Andorra,Europe,"3,692",2023,"3,352",2022,"3,325",2021
385,Suriname,Americas,"3,539",2023,"3,621",2022,"3,224",2021
386,Sierra Leone,Africa,"3,519",2023,"3,970",2022,"4,249",2021
387,Greenland,Americas,—,—,"3,273",2021,NA,2021
388,Belize,Americas,"3,218",2023,"2,824",2022,"2,492",2021
389,Burundi,Africa,"3,190",2023,"3,073",2022,"3,900",2021
390,Central African Republic,Africa,"2,760",2023,"2,383",2022,"2,518",2021
391,Curaçao,Americas,—,—,"2,700",2021,NA,2021
392,Bhutan,Asia,"2,686",2023,—,"2,381",2021,2021
393,Cape Verde,Africa,"2,598",2023,"2,315",2022,"1,936",2021
394,Saint Lucia,Americas,"2,469",2023,"2,065",2022,"1,765",2021
395,Gambia,Africa,"2,388",2023,"2,273",2022,"2,038",2021
396,Lesotho,Africa,"2,373",2023,"2,553",2022,"2,373",2021
397,Eritrea,Africa,—,—,"2,255",2021,NA,2021
398,Seychelles,Africa,"2,085",2023,"1,588",2022,"1,287",2021
399,Zanzibar,Africa,—,—,"2,080",2021,NA,2021
400,East Timor,Asia,"2,023",2023,"3,163",2022,"2,004",2021
401,San Marino,Europe,"1,998",2023,—,"1,702",2021,2021
402,Guinea-Bissau,Africa,"1,991",2023,"1,634",2022,"1,563",2021
403,Antigua and Barbuda,Americas,"1,949",2023,"1,758",2022,"1,421",2021
404,Solomon Islands,Oceania,"1,690",2023,"1,596",2022,"1,632",2021
405,Sint Maarten,Americas,—,"1,572",2022,"1,154",2021,2021
406,British Virgin Islands,Americas,—,—,"1,539",2021,NA,2021
407,Comoros,Africa,"1,364",2023,"1,243",2022,"1,340",2021
408,Grenada,Americas,"1,306",2023,"1,256",2022,"1,115",2021
409,Vanuatu,Oceania,"1,166",2023,984,2022,981,2021
410,Turks and Caicos Islands,Americas,—,"1,139",2022,943,2021,2021
411,Saint Kitts and Nevis,Americas,"1,069",2023,962,2022,861,2021
412,Saint Vincent and the Grenadines,Americas,"1,039",2023,949,2022,881,2021
413,Samoa,Oceania,939,2023,832,2022,857,2021
414,Dominica,Americas,697,2023,612,2022,548,2021
415,São Tomé and Príncipe,Africa,674,2023,547,2022,555,2021
416,Tonga,Oceania,547,2023,—,472,2021,2021
